Thu Apr 15 2021 21:02:30 GMT-0400 (Eastern Daylight Time) - Run Time: 2260ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : income

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld      income      total
        5011           6         62
        5011           7        571
        5012           3         56
        5012           4        104
        5012           5         80
        5012           6        639
        5012           7        313
        5014           3         63
        5014           5         37
        5016           2         67
        5016           3        137
        5016           4         79
        5016           6        345
        5018           6        267
        5018           7        338
        5020           2         63
        5020           4        300
        5020           5        685
        5020           6        735
        5020           7        743
        5026           4         43
        5028           3        250
        5030           1         49
        5030           2         55
        5030           4        306
        5030           5        559
        5030           6        186
        5030           7        136
        5032           1        373
        5032           2        530
        5032           3        530
        5032           4        968
        5032           5        908
        5032           6       3159
        5032           7       4014
        5033           2         78
        5033           5        417
        5033           6        653
        5033           7        451
        5035           2        480
        5036           3        251
        5036           4         24
        5036           5        620
        5036           6       1857
        5036           7        550
        5037           3         21
        5037           6        251
        5037           7        278
        5038           4         85
        5038           7         85
        5039           4         29
        5040           2         67
        5040           3         52
        5040           6         87
        5040           7         28
        5041           2        859
        5041           3       1430
        5041           4       1827
        5041           5       1332
        5041           6       1698
        5041           7       1895
        5044           2        130
        5044           4       1244
        5044           5        560
        5044           6       1037
        5044           7        286
        5045           1         48
        5045           2        339
        5045           3        251
        5045           4       1160
        5045           5        966
        5045           6       1095
        5045           7        540
        5046           2        685
        5046           3        942
        5046           4       2207
        5046           5       2242
        5046           6       1961
        5046           7       1184
        5047           1         26
        5047           2        556
        5047           3       1505
        5047           4        568
        5047           5       1047
        5047           6       1286
        5047           7       2251
        5048           2         14
        5048           3         62
        5049           3         82
        5049           4        261
        5049           6         73
        5049           7         32
        5050           1        281
        5050           2        498
        5050           3        251
        5050           4       1768
        5050           5        945
        5050           6        573
        5050           7       1467
        5051           1        434
        5051           2         98
        5051           3         23
        5051           4       1122
        5051           5        807
        5051           6       5356
        5051           7       1286
        5052           2        181
        5052           3         26
        5052           4        395
        5052           5        274
        5052           6        447
        5052           7        549
        5053           2         55
        5053           3        659
        5053           4       1102
        5053           5       1260
        5053           6       2656
        5053           7       1992
        5054           1        282
        5054           5        502
        5054           6        638
        5054           7         61
        5055           2        115
        5055           4        214
        5056           2        236
        5056           3        623
        5056           4        397
        5056           5        705
        5056           6       1108
        5056           7        771
        5057           2       1096
        5057           3        928
        5057           4       1373
        5057           5        558
        5057           7       1429
        5058           2        884
        5058           3        264
        5058           4        575
        5058           5        927
        5058           6        131
        5058           7        571
        5059           2        227
        5059           3       1181
        5059           4       3665
        5059           5        920
        5059           6       1350
        5059           7       3955
        5060           2        343
        5060           3        246
        5060           4        530
        5060           6       1215
        5060           7        964
        5061           2        422
        5061           3       1029
        5061           4       1409
        5061           5        362
        5061           6        916
        5061           7       1186
        5063           1        186
        5063           3        845
        5063           4       1296
        5063           5        623
        5063           6        441
        5063           7       1307
        5065           3        933
        5065           4        158
        5065           5        617
        5065           6       3729
        5065           7       1015
        5066           1        147
        5066           2        356
        5066           3       1255
        5066           4       1575
        5066           5       2944
        5066           6       1354
        5066           7       1683
        5067           2         50
        5067           4       1519
        5067           5        613
        5067           6       1612
        5067           7        431
        5068           1         54
        5068           2        748
        5068           3        858
        5068           4       1909
        5068           5       1531
        5068           6       2210
        5068           7        447
        5069           2       1315
        5069           3       1353
        5069           4        845
        5069           5        266
        5069           6         93
        5069           7       1656
        5071           2         24
        5071           3       1232
        5071           4        480
        5071           5        643
        5071           6        468
        5071           7       1495
        5072           3         23
        5072           4        236
        5072           5         42
        5072           6        364
        5072           7        324
        5073           2        438
        5073           3        361
        5073           4       3959
        5073           5       1251
        5073           6       1716
        5073           7       3140
        5074           1        196
        5074           2        661
        5074           3        868
        5074           4       1437
        5074           5       2355
        5074           7        583
        5075           2        571
        5075           3       1475
        5075           4       1161
        5075           5        298
        5075           6        673
        5075           7        813
        5076           2         33
        5076           3        220
        5076           4       1455
        5076           5        389
        5076           6        637
        5076           7        925
        5077           2         28
        5077           4         74
        5077           5         57
        5077           6        215
        5077           7        311
        5078           3         71
        5078           4        144
        5078           5        277
        5078           6        653
        5078           7        750
        5079           2        199
        5079           4        131
        5079           5       1168
        5079           7        223
        5080           3        400
        5080           4        475
        5080           6         69
        5080           7         75
        5081           2         67
        5081           3        335
        5081           4        297
        5081           5        189
        5081           6        416
        5081           7        841
        5082           2        284
        5082           3        775
        5082           4       1865
        5082           5        544
        5082           6       1024
        5082           7       1120
        5084           2        119
        5084           3       1230
        5084           4       1348
        5084           5       1759
        5084           6       3144
        5084           7        752
        5086           1         81
        5086           2        841
        5086           3        502
        5086           4       1694
        5086           5        122
        5086           6        748
        5086           7        471
        5087           2         57
        5087           3         69
        5087           5        224
        5088           2         97
        5088           4         47
        5088           6        474
        5089           2        405
        5089           3       1319
        5089           4       1112
        5089           5       1589
        5089           6        453
        5089           7        316
        5090           2        224
        5090           3        217
        5090           4       1010
        5090           5        632
        5090           6       1344
        5090           7        919
        5091           2        684
        5091           3        291
        5091           4        693
        5091           6        813
        5091           7        764
        5092           1        356
        5092           2        770
        5092           3        844
        5092           4        581
        5092           5        309
        5092           6        645
        5092           7        643
        5093           1         25
        5093           2        458
        5093           3        439
        5093           4        579
        5093           5        202
        5093           6        391
        5093           7        478
        5094           2        409
        5094           3        917
        5094           4       2460
        5094           5        391
        5094           6       4148
        5094           7       2268
        5095           2       1182
        5095           3        917
        5095           4       1640
        5095           5        232
        5095           6        340
        5095           7        855
        5096           2        307
        5096           3        377
        5096           4       1730
        5096           5       1592
        5096           6        602
        5096           7        811
        5097           1         54
        5097           2        133
        5097           3        448
        5097           4        696
        5097           7        191
        5098           2        431
        5098           3        258
        5098           4       1855
        5098           5       1885
        5098           6       1139
        5098           7       2038
        5099           2        892
        5099           3        325
        5099           4        499
        5099           5        399
        5099           6        389
        5099           7        530
        5100           1        118
        5100           2         69
        5100           3        165
        5100           4       1673
        5100           5       1312
        5100           6       2301
        5100           7       1368
        5101           2        143
        5101           3        921
        5101           4       1321
        5101           5        249
        5101           6         34
        5101           7        195
        5102           2        589
        5102           3        505
        5102           4        579
        5102           7        482
        5103           3         35
        5103           5        510
        5103           6        867
        5103           7        112
        5104           1        125
        5104           2       1314
        5104           3        687
        5104           4       1591
        5104           5        501
        5104           6        872
        5104           7       1266
        5105           2        240
        5105           3        183
        5105           4       1422
        5105           5        215
        5105           6       1450
        5105           7       1122
        5106           2        297
        5106           3        969
        5106           4        865
        5106           5         38
        5106           6        361
        5106           7        285
        5107           2         61
        5107           3        151
        5107           4        516
        5107           5         74
        5107           6        207
        5107           7        141
        5109           2        167
        5109           3        133
        5109           4        363
        5109           5        781
        5109           6       2571
        5109           7       1015
        5110           1        103
        5110           2        523
        5110           3        243
        5110           4        453
        5110           5        801
        5110           6        599
        5110           7       1780
        5111           1        135
        5111           2        605
        5111           3        718
        5111           4       1476
        5111           5        287
        5111           6        712
        5111           7       1006
        5113           2        238
        5113           3        356
        5113           4       1482
        5113           5        983
        5113           6         43
        5113           7        326
        5114           2        219
        5114           3        350
        5114           4        879
        5114           6        986
        5114           7        229
        5115           2         86
        5115           3       1186
        5115           4       1857
        5115           5       1095
        5115           6       1124
        5115           7        479
        5116           2        108
        5116           3        456
        5116           4       2523
        5116           7        964
        5117           2         43
        5117           3        378
        5117           4        607
        5117           5         42
        5117           6        161
        5117           7        164
        5118           1         83
        5118           2        803
        5118           3       2034
        5118           4       1342
        5118           5        372
        5118           7       1210
        5119           2        132
        5120           1        291
        5120           2        251
        5120           3        249
        5120           4        837
        5120           5        588
        5120           6        208
        5120           7        606
        5121           2       1092
        5121           3        129
        5121           4        810
        5121           6        159
        5121           7       2244
        5122           1        106
        5122           2        735
        5122           3        561
        5122           4        670
        5122           5        832
        5122           6        868
        5122           7       1121
        5123           1        242
        5123           2       1411
        5123           3       1815
        5123           4       2295
        5123           6        623
        5123           7       1477
        5125           2        671
        5125           3         61
        5125           4        155
        5126           3        144
        5126           4        871
        5126           5        116
        5126           7         69
        5127           2        558
        5127           3        641
        5127           4       3538
        5127           5       1043
        5127           6         76
        5127           7        846
        5129           1        221
        5129           2        157
        5129           4        833
        5129           5        309
        5129           6       1801
        5129           7         54
        5130           2       1680
        5130           3       1663
        5130           4       1410
        5130           5       1289
        5130           6        665
        5130           7        372
        5131           2        239
        5131           3        466
        5131           4        887
        5131           5        123
        5131           6         46
        5131           7        729
        5132           1         32
        5132           2        255
        5132           3         52
        5132           4        703
        5132           5       1650
        5132           6        747
        5132           7       1793
        5133           2        753
        5133           3        457
        5133           4        764
        5133           5        601
        5133           6       1459
        5133           7        871
        5135           2        410
        5135           3       1385
        5135           4       3343
        5135           5        428
        5135           6        230
        5135           7       1388
        5137           2         27
        5137           3        147
        5137           4         41
        5137           5       1168
        5137           6       1263
        5137           7        594
        5138           3        104
        5138           6        515
        5138           7         67
        5139           1         62
        5139           2       1905
        5139           3        814
        5139           4       1800
        5139           5       3188
        5139           6       1540
        5139           7       1251
        5140           2        411
        5140           3        985
        5140           4        887
        5140           5        804
        5140           6       1416
        5140           7        698
        5141           4        449
        5141           5       1039
        5141           6        422
        5141           7       1014
        5142           7        206
        5143           1        181
        5143           2        482
        5143           3        388
        5143           4       2403
        5143           5        308
        5143           6        664
        5143           7       1121
        5144           2        417
        5144           3       1582
        5144           4        768
        5144           5        341
        5144           6       1860
        5144           7       1365
        5147           4        177
        5147           6         24
        5148           1        356
        5148           2        789
        5148           3       1597
        5148           4        989
        5148           5        600
        5148           6        343
        5148           7        923
        5149           1         67
        5149           2        504
        5149           3       1728
        5149           4        931
        5149           5        172
        5149           6        334
        5150           2       1706
        5150           3        343
        5150           4       2038
        5150           6        229
        5150           7        191
        5151           2        549
        5151           3       2142
        5151           4       1643
        5151           5        472
        5151           6        399
        5151           7        655
        5154           2        508
        5154           3         88
        5154           4       1481
        5154           5        409
        5154           6        140
        5154           7        104
        5155           1        158
        5155           2        598
        5155           3        598
        5155           4        285
        5155           5        685
        5155           6        150
        5155           7        682
        5156           2         34
        5157           2        476
        5157           3        409
        5157           4       1019
        5157           5        721
        5157           6         37
        5157           7        163
        5158           1         34
        5158           2        425
        5158           3        352
        5158           4       1388
        5158           5        503
        5158           6       4877
        5158           7       1110
        5159           1        205
        5159           2        990
        5159           3        440
        5159           4        696
        5159           5        278
        5159           6        231
        5159           7        264
        5160           3        493
        5160           6        650
        5161           1         59
        5161           2        437
        5161           3       2009
        5161           4        861
        5161           5        388
        5161           7        553
        5162           2        337
        5162           3        234
        5162           4        387
        5162           5        276
        5162           6        535
        5162           7        229
        5163           2        149
        5163           3        780
        5163           4        304
        5163           5        114
        5163           6        240
        5163           7        312
        5164           1        247
        5164           2        558
        5164           3       1828
        5164           4       2904
        5164           5        432
        5164           6       1127
        5164           7        339
        5165           2        770
        5165           3        957
        5165           4       1708
        5165           5        160
        5165           6        292
        5165           7       1377
        5166           1        198
        5166           2        843
        5166           3        868
        5166           4       1538
        5166           5       1232
        5166           6        494
        5166           7       1212
        5167           1        308
        5167           2        242
        5167           3        221
        5167           4        145
        5167           5        892
        5167           6        168
        5168           2        246
        5168           3         82
        5168           4        127
        5168           5        165
        5168           6         95
        5170           1        391
        5170           2        833
        5170           3        325
        5170           4        547
        5170           5        715
        5170           7        479
        5171           2        767
        5171           3        587
        5171           4        652
        5171           5        347
        5171           7        316
        5172           1         97
        5172           3        262
        5172           4        325
        5172           5        438
        5172           6        194
        5172           7        223
        5173           3        326
        5173           4         68
        5174           2        727
        5174           4        499
        5174           5        898
        5174           6        302
        5174           7         67
        5175           1        131
        5175           2         90
        5175           3        415
        5175           4        847
        5175           5        325
