gta06_hhld,age,population,income
5030,82,10,2
5032,10,60,2
5032,16,60,2
5032,27,103,2
5032,39,103,2
5032,40,60,2
5032,48,60,2
5032,59,59,2
5032,61,48,2
5032,64,29,2
5032,68,29,2
5032,71,29,2
5032,77,23,2
5033,68,78,2
5035,30,21,2
5035,60,42,2
5040,55,34,2
5041,13,35,2
5041,15,35,2
5041,43,35,2
5041,51,8,2
5041,53,35,2
5041,56,33,2
5041,59,21,2
5041,60,15,2
5041,62,21,2
5041,63,15,2
5041,65,31,2
5041,66,23,2
5041,67,31,2
5041,69,33,2
5041,71,24,2
5041,83,28,2
5041,84,28,2
5041,86,31,2
5041,88,48,2
5041,94,48,2
5044,6,16,2
5044,38,16,2
5044,48,8,2
5044,58,15,2
5044,59,15,2
5044,65,16,2
5044,68,16,2
5044,70,17,2
5045,0,44,2
5045,5,36,2
5045,6,20,2
5045,7,44,2
5045,12,36,2
5045,14,36,2
5045,15,36,2
5045,31,66,2
5045,34,44,2
5045,38,20,2
5045,42,36,2
5045,49,36,2
5045,52,24,2
5045,53,24,2
5045,54,20,2
5045,66,20,2
5045,67,23,2
5045,74,20,2
5045,78,26,2
5045,79,20,2
5045,83,20,2
5045,90,23,2
5046,10,30,2
5046,20,64,2
5046,24,64,2
5046,40,33,2
5046,45,30,2
5046,58,94,2
5046,60,33,2
5046,65,31,2
5046,75,14,2
5046,77,14,2
5047,11,16,2
5047,14,8,2
5047,46,8,2
5047,69,71,2
5047,72,11,2
5047,73,15,2
5047,74,15,2
5047,78,25,2
5047,79,11,2
5047,80,7,2
5047,81,7,2
5047,82,34,2
5047,84,50,2
5048,47,14,2
5048,54,14,2
5050,10,33,2
5050,15,33,2
5050,17,33,2
5050,20,33,2
5050,22,38,2
5050,23,38,2
5050,24,73,2
5050,45,33,2
5050,49,33,2
5050,50,45,2
5050,51,38,2
5050,54,40,2
5050,55,40,2
5050,57,8,2
5050,58,12,2
5050,59,44,2
5050,60,27,2
5050,62,38,2
5050,65,16,2
5050,68,16,2
5050,72,9,2
5050,73,14,2
5050,74,17,2
5050,78,8,2
5050,81,11,2
5050,82,25,2
5050,83,8,2
5050,87,11,2
5050,90,11,2
5051,8,26,2
5051,9,26,2
5051,10,59,2
5051,16,26,2
5051,33,59,2
5051,37,26,2
5051,47,26,2
5051,63,36,2
5051,68,36,2
5051,71,26,2
5051,75,26,2
5052,64,47,2
5052,77,19,2
5053,6,14,2
5053,7,108,2
5053,12,14,2
5053,22,108,2
5053,40,14,2
5053,46,14,2
5053,47,108,2
5053,60,18,2
5053,64,18,2
5053,72,7,2
5055,78,16,2
5055,79,16,2
5056,5,41,2
5056,9,41,2
5056,30,41,2
5056,33,40,2
5056,38,41,2
5056,40,49,2
5056,46,25,2
5056,62,49,2
5056,66,40,2
5056,73,65,2
5057,17,63,2
5057,23,65,2
5057,30,65,2
5057,33,50,2
5057,38,156,2
5057,39,100,2
5057,40,35,2
5057,53,65,2
5057,56,38,2
5057,66,87,2
5057,67,74,2
5057,69,13,2
5057,71,26,2
5057,72,13,2
5057,73,56,2
5057,75,12,2
5057,81,12,2
5057,82,12,2
5057,90,13,2
5058,26,48,2
5058,28,48,2
5058,46,37,2
5058,50,48,2
5058,63,20,2
5058,64,19,2
5058,71,32,2
5058,73,22,2
5058,76,68,2
5058,77,20,2
5058,78,20,2
5058,79,46,2
5058,81,19,2
5058,82,20,2
5058,83,20,2
5058,91,50,2
5058,92,20,2
5059,49,41,2
5059,75,12,2
5059,83,19,2
5059,85,19,2
5059,88,10,2
5059,96,19,2
5059,97,19,2
5060,1,85,2
5060,6,85,2
5060,21,61,2
5060,23,61,2
5060,27,85,2
5060,30,85,2
5060,32,61,2
5060,56,61,2
5060,57,85,2
5060,59,61,2
5060,60,85,2
5060,72,51,2
5061,56,42,2
5061,65,46,2
5061,67,17,2
5061,72,23,2
5061,74,17,2
5061,82,18,2
5061,86,17,2
5061,90,17,2
5065,82,59,2
5065,92,12,2
5066,2,27,2
5066,5,27,2
5066,16,27,2
5066,19,33,2
5066,38,27,2
5066,41,33,2
5066,46,23,2
5066,66,64,2
5066,71,30,2
5066,72,30,2
5066,73,22,2
